               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038777,            0.045026,           0.0095141,              0.6463,             0.50229,             0.58284,             0.32666,            0.027974,            0.019954,            0.016383,            0.009307,            0.009307,            0.009307
                  37,            0.039522,            0.045042,           0.0093374,             0.58919,             0.64926,             0.67995,             0.34998,            0.028486,            0.019623,            0.013662,           0.0092872,           0.0092872,           0.0092872
                  38,            0.039197,            0.046364,           0.0090526,             0.70081,             0.63447,              0.6902,             0.38102,            0.028732,            0.021664,            0.011411,           0.0092674,           0.0092674,           0.0092674
                  39,             0.03792,            0.045392,           0.0088971,             0.68553,              0.4958,             0.62044,             0.36048,            0.026552,            0.018986,            0.014389,           0.0092476,           0.0092476,           0.0092476
                  40,            0.037856,            0.045116,           0.0085956,             0.62761,             0.50221,             0.57846,             0.31814,            0.026712,            0.019698,            0.019514,           0.0092278,           0.0092278,           0.0092278
                  41,            0.037414,            0.044522,            0.007848,             0.70511,             0.59938,             0.66548,             0.35644,            0.025831,            0.019478,            0.015054,            0.009208,            0.009208,            0.009208
                  42,            0.037527,            0.043168,           0.0083357,             0.65568,             0.62704,             0.65821,             0.38295,            0.028082,            0.020289,            0.011186,           0.0091882,           0.0091882,           0.0091882
                  43,            0.037437,            0.043045,           0.0080622,             0.71702,             0.61073,             0.67974,             0.39392,            0.026978,            0.019527,            0.010496,           0.0091684,           0.0091684,           0.0091684
                  44,            0.037428,            0.044627,           0.0084213,             0.66135,             0.58899,             0.63258,             0.32858,            0.032895,            0.019279,            0.011589,           0.0091486,           0.0091486,           0.0091486
                  45,            0.036922,            0.043806,           0.0077153,             0.60081,             0.63612,             0.63547,             0.37385,             0.02549,            0.019318,            0.010014,           0.0091288,           0.0091288,           0.0091288
                  46,            0.037454,            0.043741,           0.0078243,             0.61697,             0.69902,             0.68409,             0.41728,            0.025433,            0.019379,           0.0090285,            0.009109,            0.009109,            0.009109
                  47,            0.036164,            0.043075,           0.0079883,             0.63698,             0.63793,             0.65292,             0.34739,            0.030226,            0.019856,            0.018024,           0.0090892,           0.0090892,           0.0090892
                  48,            0.037177,            0.042713,           0.0073362,             0.70689,             0.58524,             0.63709,             0.39223,            0.025979,            0.019619,             0.01146,           0.0090694,           0.0090694,           0.0090694
                  49,            0.036885,            0.043466,           0.0078727,             0.65854,             0.58273,              0.6433,             0.37064,            0.026626,            0.019915,            0.009178,           0.0090496,           0.0090496,           0.0090496
                  50,            0.036676,            0.043936,           0.0078006,             0.62438,             0.56702,             0.61581,             0.35353,            0.030938,            0.020124,           0.0093088,           0.0090298,           0.0090298,           0.0090298
                  51,            0.036492,            0.042471,           0.0072245,             0.76087,             0.55492,              0.6747,             0.37437,            0.028598,            0.020192,            0.010352,             0.00901,             0.00901,             0.00901
                  52,            0.035295,             0.04228,             0.00692,              0.7585,             0.50081,             0.64386,             0.38449,            0.026276,            0.019625,            0.012555,           0.0089902,           0.0089902,           0.0089902
                  53,            0.035585,            0.042331,           0.0076078,             0.74232,             0.65024,             0.70649,             0.42637,            0.025449,            0.019975,            0.013376,           0.0089704,           0.0089704,           0.0089704
                  54,            0.035788,            0.040465,           0.0071276,              0.5566,             0.72664,             0.64445,             0.39194,            0.025553,            0.019007,            0.017997,           0.0089506,           0.0089506,           0.0089506
                  55,            0.036004,            0.042104,           0.0070662,             0.58205,             0.63167,              0.6434,             0.37649,             0.02563,            0.021404,           0.0098682,           0.0089308,           0.0089308,           0.0089308
                  56,            0.035782,            0.040616,           0.0073027,             0.68572,             0.59703,             0.64991,             0.37786,            0.028248,            0.019916,            0.013114,            0.008911,            0.008911,            0.008911
                  57,            0.035052,            0.040663,           0.0063075,             0.71081,             0.60835,              0.6822,             0.39615,            0.028261,             0.01926,            0.011469,           0.0088912,           0.0088912,           0.0088912
                  58,            0.034103,            0.042345,           0.0066704,             0.63434,             0.67247,             0.68679,               0.408,            0.025954,            0.020368,            0.009903,           0.0088714,           0.0088714,           0.0088714
                  59,            0.034657,             0.04095,           0.0063062,             0.55478,             0.71892,             0.69824,             0.42062,            0.025689,            0.019266,            0.010365,           0.0088516,           0.0088516,           0.0088516
                  60,             0.03458,            0.040095,             0.00682,             0.66068,             0.65812,             0.68686,             0.42168,            0.024933,            0.018807,            0.021637,           0.0088318,           0.0088318,           0.0088318
                  61,            0.033794,            0.039525,           0.0060903,             0.77036,             0.65865,             0.72619,             0.42908,            0.024548,            0.019338,            0.015169,            0.008812,            0.008812,            0.008812
                  62,             0.03402,            0.039342,           0.0065364,             0.62649,             0.60675,             0.65985,             0.35931,            0.027066,            0.018976,            0.016127,           0.0087922,           0.0087922,           0.0087922
                  63,            0.034309,            0.040215,           0.0059183,             0.58366,             0.49778,              0.6091,             0.36799,            0.026197,            0.018776,           0.0089686,           0.0087724,           0.0087724,           0.0087724
